TempTMT [°C],-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
15:15-15:30,"1,3198","1,3199","1,3132","1,3041","1,2928","1,2791","1,2632","1,2451","1,2248","1,2023","1,0384","1,1508","1,1219","1,0909","1,0613","1,0293","0,9949","0,9620","0,9227","0,8812","0,8113","0,7437","0,6770","0,6119","0,5484","0,4866","0,4263","0,3676","0,3105","0,2549","0,2009","0,1494","0,0982","0,0374","0,0045"
15:30-15:45,"1,3135","1,3136","1,3069","1,2979","1,2866","1,2731","1,2572","1,2392","1,2190","1,1966","1,0335","1,1453","1,1165","1,0857","1,0562","1,0244","0,9902","0,9574","0,9184","0,8770","0,8074","0,7402","0,6738","0,6090","0,5458","0,4843","0,4243","0,3659","0,3090","0,2537","0,2000","0,1487","0,0977","0,0373","0,0045"
15:45-16:00,"1,3139","1,3140","1,3073","1,2982","1,2869","1,2734","1,2575","1,2395","1,2193","1,1969","1,0338","1,1456","1,1168","1,0859","1,0565","1,0246","0,9904","0,9576","0,9186","0,8773","0,8076","0,7404","0,6739","0,6092","0,5460","0,4844","0,4244","0,3660","0,3091","0,2538","0,2000","0,1488","0,0977","0,0373","0,0045"
16:00-16:15,"1,3221","1,3222","1,3154","1,3064","1,2950","1,2813","1,2654","1,2472","1,2269","1,2043","1,0402","1,1528","1,1238","1,0927","1,0631","1,0310","0,9966","0,9636","0,9243","0,8827","0,8126","0,7450","0,6782","0,6130","0,5494","0,4874","0,4270","0,3683","0,3110","0,2554","0,2013","0,1497","0,0983","0,0375","0,0045"
16:15-16:30,"1,3265","1,3266","1,3198","1,3107","1,2993","1,2856","1,2696","1,2514","1,2310","1,2084","1,0437","1,1566","1,1275","1,0964","1,0667","1,0345","0,9999","0,9668","0,9274","0,8857","0,8154","0,7475","0,6804","0,6150","0,5512","0,4890","0,4285","0,3695","0,3121","0,2562","0,2019","0,1502","0,0987","0,0376","0,0046"
16:30-16:45,"1,3356","1,3357","1,3289","1,3197","1,3082","1,2944","1,2783","1,2600","1,2394","1,2166","1,0508","1,1645","1,1353","1,1039","1,0740","1,0416","1,0068","0,9735","0,9338","0,8917","0,8210","0,7526","0,6851","0,6192","0,5550","0,4924","0,4314","0,3720","0,3142","0,2580","0,2033","0,1512","0,0993","0,0379","0,0046"
16:45-17:00,"1,3374","1,3375","1,3307","1,3215","1,3100","1,2962","1,2801","1,2617","1,2411","1,2183","1,0523","1,1661","1,1368","1,1054","1,0754","1,0430","1,0082","0,9748","0,9351","0,8930","0,8221","0,7536","0,6860","0,6201","0,5558","0,4931","0,4320","0,3725","0,3146","0,2583","0,2036","0,1514","0,0995","0,0379","0,0046"
17:00-17:15,"0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
17:15-17:30,"0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
17:30-17:45,"0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
17:45-18:00,"0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
