gCO2/kwh;Date;Time
434.0683864;08.01.2022;01:00:00
440.1034313;08.01.2022;01:15:00
437.63695;08.01.2022;01:30:00
436.4656921;08.01.2022;01:45:00
436.9436561;08.01.2022;02:00:00
432.4568079;08.01.2022;02:15:00
428.9659103;08.01.2022;02:30:00
429.3958847;08.01.2022;02:45:00
428.02198;08.01.2022;03:00:00
426.9742673;08.01.2022;03:15:00
430.6532125;08.01.2022;03:30:00
435.1612701;08.01.2022;03:45:00
441.3562944;08.01.2022;04:00:00
442.2911661;08.01.2022;04:15:00
445.3714642;08.01.2022;04:30:00
445.0894892;08.01.2022;04:45:00
446.2669617;08.01.2022;05:00:00
442.4068474;08.01.2022;05:15:00
442.8949897;08.01.2022;05:30:00
443.2456222;08.01.2022;05:45:00
438.3726752;08.01.2022;06:00:00
444.3332957;08.01.2022;06:15:00
451.2635379;08.01.2022;06:30:00
451.3900394;08.01.2022;06:45:00
450.4269077;08.01.2022;07:00:00
454.0131178;08.01.2022;07:15:00
454.2584035;08.01.2022;07:30:00
453.7725823;08.01.2022;07:45:00
443.750435;08.01.2022;08:00:00
435.3426531;08.01.2022;08:15:00
427.6397801;08.01.2022;08:30:00
421.9014222;08.01.2022;08:45:00
421.9231558;08.01.2022;09:00:00
421.5607347;08.01.2022;09:15:00
421.1106224;08.01.2022;09:30:00
419.9104939;08.01.2022;09:45:00
407.2092833;08.01.2022;10:00:00
402.1644463;08.01.2022;10:15:00
401.2982266;08.01.2022;10:30:00
400.886365;08.01.2022;10:45:00
400.7414443;08.01.2022;11:00:00
397.7960864;08.01.2022;11:15:00
397.763962;08.01.2022;11:30:00
397.3543316;08.01.2022;11:45:00
392.7318535;08.01.2022;12:00:00
395.0626438;08.01.2022;12:15:00
392.7833913;08.01.2022;12:30:00
388.7680293;08.01.2022;12:45:00
386.0750843;08.01.2022;13:00:00
387.5371084;08.01.2022;13:15:00
383.9139761;08.01.2022;13:30:00
381.8389031;08.01.2022;13:45:00
378.3921745;08.01.2022;14:00:00
377.7940124;08.01.2022;14:15:00
378.7273176;08.01.2022;14:30:00
381.2153631;08.01.2022;14:45:00
382.0318737;08.01.2022;15:00:00
383.6541509;08.01.2022;15:15:00
383.4650791;08.01.2022;15:30:00
